Row_ID,SKU,Seller_ID,Seller_Name,Category,Brand,Model_Name,Model_Number,UPC,GTIN,Title,Description,Price_USD,Weight_lbs,Stock_Quantity,Primary_Image_URL,Specifications,Listing_Date,Last_Updated,Is_Active,Data_Quality_Issue
1,BB-MKT-00357,S008,DigitalHub USA,Tablets,Apple,Galaxy Tab S9,AP-3591-BL,823004112457,0823004112457,"Apple Galaxy Tab S9 12.9"" 128GB Tablet",Stay productive and entertained with the Apple Galaxy Tab S9. Powerful performance in a sleek design.,1222.55,0.84,281,https://images.bestbuy.com/marketplace/apple-galaxy-tab-s9-main.jpg,"Storage_GB: 128 | Screen_Size: 12.9"" | Cellular: No | RAM_GB: 16",2024-12-14,2024-12-14,Yes,
2,BB-MKT-00833,S006,NextGen Devices,Smart Home,Wyze,Learning Thermostat,WY-9007-BL,929827299135,0929827299135,Wyze Learning Thermostat Smart Home Device,Transform your home with the Wyze Learning Thermostat. Easy setup and seamless smart home integration.,176.12,1.01,164,https://images.bestbuy.com/marketplace/wyze-learning-thermostat-main.jpg,Connectivity: Wi-Fi | Voice_Assistant: Apple HomeKit | Power: USB-C,2025-02-22,2025-02-22,Yes,
3,BB-MKT-00543,S007,SmartBuy Co,Laptops,,Katana 15,AS-9516-SL,979237227132,0979237227132,"ASUS Katana 15 14"" Laptop - 8GB RAM 1024GB SSD",Experience premium performance with the ASUS Katana 15. Designed for professionals and students alike.,1279.54,2.62,358,https://images.bestbuy.com/marketplace/asus-katana-15-main.jpg,"RAM_GB: 8 | Storage_GB: 1024 | Screen_Size: 14"" | Processor: Apple M2",2025-04-10,2025-04-10,Yes,MISSING_BRAND
4,BB-MKT-00087,S006,NextGen Devices,TVs,Hisense,QLED 4K,HI-6793-BL,551496545441,0551496545441,"Hisense 75"" 1080p Full HD Smart TV QLED 4K",Immerse yourself in stunning visuals with the Hisense QLED 4K. Features cutting-edge display technology.,3504.35,39.73,495,https://images.bestbuy.com/marketplace/hisense-qled-4k-main.jpg,"Screen_Size: 75"" | Resolution: 1080p Full HD | Smart_TV: No | HDR: HDR10+",2024-11-25,2024-11-25,Yes,
5,BB-MKT-00309,S007,SmartBuy Co,Smart Home,Wyze,Ultra 2,WY-8723-BL,590556533399,0590556533399,Wyze Ultra 2 Smart Home Device,Transform your home with the Wyze Ultra 2. Easy setup and seamless smart home integration.,109.17,1.26,307,https://images.bestbuy.com/marketplace/wyze-ultra-2-main.jpg,Connectivity: Wi-Fi | Voice_Assistant: Apple HomeKit | Power: Battery,2024-09-12,2024-09-12,Yes,
6,BB-MKT-00030,S002,EliteGadgets Inc,Tablets,Amazon,Galaxy Tab S9,AM-4228-SL,691874457344,0691874457344,"Amazon Galaxy Tab S9 8"" 256GB Tablet",Stay productive and entertained with the Amazon Galaxy Tab S9. Powerful performance in a sleek design.,644.99,0.87,471,https://images.bestbuy.com/marketplace/amazon-galaxy-tab-s9-main.jpg,"Storage_GB: 256 | Screen_Size: 8"" | Cellular: No | RAM_GB: 4",2024-12-17,2024-12-17,Yes,
7,BB-MKT-00798,S001,TechDirect LLC,Laptops,Lenovo,Aspire 5,LE-8207-BK,119167254787,0119167254787,"Lenovo Aspire 5 14"" Laptop - 32GB RAM 512GB SSD",Experience premium performance with the Lenovo Aspire 5. Designed for professionals and students alike.,1378.52,2.75,245,https://images.bestbuy.com/marketplace/lenovo-aspire-5-main.jpg,"RAM_GB: 32 | Storage_GB: 512 | Screen_Size: 14"" | Processor: AMD Ryzen 7",2025-04-11,2025-04-11,Yes,
8,BB-MKT-00019,S002,EliteGadgets Inc,TVs,Samsung,U8K,SA-5033-BK,726594012825,0726594012825,"Samsung 43"" 1080p Full HD Smart TV U8K",Immerse yourself in stunning visuals with the Samsung U8K. Features cutting-edge display technology.,2571.68,26.45,298,https://images.bestbuy.com/marketplace/samsung-u8k-main.jpg,"Screen_Size: 43"" | Resolution: 1080p Full HD | Smart_TV: Yes | HDR: Dolby Vision",2025-04-16,2025-04-16,Yes,
9,BB-MKT-00326,S001,TechDirect LLC,Smart Home,Amazon,Hue Starter Kit,AM-5501-BL,642520584597,0642520584597,Amazon Hue Starter Kit Smart Home Device,Transform your home with the Amazon Hue Starter Kit. Easy setup and seamless smart home integration.,114.95,1.17,261,https://images.bestbuy.com/marketplace/amazon-hue-starter-kit-main.jpg,Connectivity: Bluetooth | Voice_Assistant: Apple HomeKit | Power: USB-C,2024-11-21,2024-11-21,Yes,
10,BB-MKT-00903,S003,PrimeElectronics,Headphones,Bose,QuietComfort 45,BO-6335-BL,274644497411,0274644497411,Bose QuietComfort 45 On-ear Wireless Headphones,Enjoy crystal-clear audio with the Bose QuietComfort 45. Perfect for music lovers and remote workers.,368.82,0.4,399,https://images.bestbuy.com/marketplace/bose-quietcomfort-45-main.jpg,Type: On-ear | Connectivity: Wireless | ANC: Yes | Battery_Hours: 40,2024-11-15,2024-11-15,Yes,
